name,abbriviation,latitude,longitude
Richmond,RICH,37.936853,-122.353099
El Cerrito del Norte,DELN,37.925086,-122.316794
El Cerrito Plaza,PLZA,37.902632,-122.298904
North Berkeley,NBRK,37.873967,-122.283440
Downtown Berkeley,DBRK,37.870104,-122.268133
Ashby,ASHB,37.852803,-122.270062
MacArthur,MCAR,37.829065,-122.267040
19th St. Oakland,19TH,37.808350,-122.268602
12th St. Oakland City Center,12TH,37.803768,-122.271450
West Oakland,WOAK,37.804872,-122.295140
Embarcadero,EMBR,37.792874,-122.397020
Montgomery St.,MONT,37.789405,-122.401066
Powell St.,POWL,37.784471,-122.407974
Civic Center/UN Plaza,CIVC,37.779732,-122.414123
16th St. Mission,16TH,37.765062,-122.419694
24th St. Mission,24TH,37.752470,-122.418143
Glen Park,GLEN,37.733064,-122.433817
Balboa Park,BALB,37.721585,-122.447506
Daly City,DALY,37.706121,-122.469081
Colma,COLM,37.684638,-122.466233
South San Francisco,SSAN,37.664245,-122.443960
San Bruno,SBRN,37.637761,-122.416287
Millbrae,MLBR,37.600271,-122.386702
